,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
1685,,,CO,MORTGAGE,2500,36,9.44
1686,manager,6.0,NY,RENT,40000,36,5.31
1687,customer service,10.0,MI,MORTGAGE,31000,60,7.35
1688,clinic manager ,0.0,TX,RENT,16000,60,26.77
1689,operations processing specialist ,10.0,VA,MORTGAGE,16000,60,25.82
1690,contracting officer,2.0,WA,RENT,16000,36,10.91
1691,highway foreman,10.0,PA,RENT,30000,36,18.06
1692,brand manager,5.0,FL,RENT,15000,36,14.08
1693,store manager,7.0,PA,MORTGAGE,22000,60,12.61
1694,ultrasound tech,1.0,TX,MORTGAGE,30000,60,9.44
1695,,,NJ,RENT,10000,60,21.85
1696,truck driver,5.0,WA,RENT,6000,36,7.96
1697,registered nurse,10.0,VA,MORTGAGE,13500,36,10.42
1698,shop forman,10.0,NC,MORTGAGE,10000,36,16.02
1699,rotary operator,3.0,MI,MORTGAGE,13000,36,12.61
1700,analyst,10.0,CA,RENT,6000,36,13.59
1701,cdl a driver warehouse tech,3.0,WI,RENT,19200,60,20.0
1702,building manager,10.0,NY,RENT,35000,60,20.0
1703,network engineer,10.0,CA,MORTGAGE,20225,36,15.04
1704,medical laboratory technologist,0.0,NY,RENT,14000,60,18.45
1705,accounting assistant,4.0,NY,RENT,8000,36,16.01
1706,account manager,9.0,CA,MORTGAGE,10000,60,12.61
1707,manager,10.0,NY,OWN,10000,60,23.88
1708,admissions counselor,8.0,HI,RENT,25000,36,15.04
1709,dsr,9.0,OK,MORTGAGE,6000,36,6.72
1710,"sr, mgr, global network services",10.0,FL,MORTGAGE,32000,36,10.41
1711,driver,10.0,WI,MORTGAGE,32000,60,14.07
1712,,,NC,MORTGAGE,5000,36,6.07
1713,lvn care coordinator,4.0,CA,RENT,20000,60,13.58
1714,sales manager,4.0,MA,MORTGAGE,6000,36,5.31
1715,assistant general  manager ,4.0,FL,RENT,16000,60,17.09
1716,"svp, americas",3.0,CA,MORTGAGE,12000,36,10.41
1717,electrician,4.0,VA,MORTGAGE,30000,36,7.34
1718,,,TX,MORTGAGE,27800,36,9.43
1719,parole agent iii,10.0,CA,MORTGAGE,35000,60,17.09
1720,president,10.0,FL,OWN,35000,36,11.99
1721,it specialist,7.0,MD,RENT,12000,36,5.31
1722,quality control manager,10.0,IL,OWN,25000,36,14.08
1723,fixed assets analyst,2.0,WI,OWN,20000,60,28.72
1724,supervisor,10.0,IN,MORTGAGE,10000,36,5.31
1725,machine operator,10.0,WI,MORTGAGE,15000,60,13.58
1726,consultant,9.0,OR,RENT,20000,36,7.96
1727,facilities operations manager,5.0,TX,RENT,10000,36,6.08
1728,cook,5.0,CA,RENT,35000,36,10.42
1729,help desk manager,3.0,MN,RENT,20000,60,9.44
1730,administration,2.0,CO,OWN,12000,36,10.91
1731,massage therapoist,10.0,NV,MORTGAGE,1200,36,15.04
1732, district manager,10.0,OK,MORTGAGE,15000,36,5.32
1733,program manager,4.0,NC,MORTGAGE,19600,60,9.44
1734,cashier/salesperson,0.0,RI,MORTGAGE,7000,36,14.07
1735,sales director international ,2.0,FL,OWN,25000,36,6.72
1736,assistant principal,10.0,FL,MORTGAGE,5000,36,15.05
1737,financial director,10.0,CT,OWN,20000,36,14.08
1738,sales,10.0,FL,MORTGAGE,7000,36,9.44
1739,administrstor,9.0,OH,MORTGAGE,10000,36,20.39
1740,senior analyst,4.0,GA,MORTGAGE,30000,60,9.44
1741,medical laboratory scientist,4.0,OH,OWN,16000,36,5.32
1742,network infrastructure engineer,2.0,NJ,RENT,12000,36,6.72
1743,actuary,1.0,MA,MORTGAGE,35000,60,17.47
1744,director technology,6.0,CA,RENT,40000,36,10.41
1745,area sales director,0.0,NC,OWN,16000,60,9.43
1746,administrative assistant,10.0,MD,MORTGAGE,3000,36,9.43
1747,office manager,10.0,AL,MORTGAGE,25000,60,10.42
1748,pastor,8.0,FL,RENT,6500,36,10.9
1749,supervisor,5.0,TX,MORTGAGE,40000,60,9.93
1750,water inspector,10.0,NJ,MORTGAGE,7000,36,13.59
1751,president,7.0,VA,MORTGAGE,20000,36,9.93
1752,senior lender specialist ii,1.0,FL,RENT,12000,36,10.42
1753,service manager,10.0,FL,OWN,16000,36,16.01
1754,,,CA,RENT,13000,60,10.42
1755,director of operations,10.0,IN,MORTGAGE,12000,36,7.96
1756,vice president ocean services,1.0,IL,MORTGAGE,10000,60,9.44
1757,accounting clerk iv,10.0,IL,RENT,20000,60,10.91
1758,owner/director,7.0,NJ,MORTGAGE,30000,60,6.07
1759,mechanical engineer,5.0,UT,MORTGAGE,25000,36,7.35
1760,operating engineer,3.0,MI,MORTGAGE,30000,60,9.43
1761,dir strategic accounts,2.0,CA,MORTGAGE,35000,36,9.44
1762,rca professional,6.0,MN,RENT,30000,60,13.59
1763,assistant director,5.0,FL,RENT,5000,36,6.08
1764,surgeon ,0.0,CA,RENT,13000,36,5.32
1765,manager,10.0,MN,MORTGAGE,12000,36,5.32
1766,lab manager/ dental assistant,10.0,TN,RENT,10000,36,16.02
1767,sergeant first class,10.0,CO,MORTGAGE,10000,36,20.0
1768,family assistance analyst ii,4.0,NM,RENT,10000,60,9.44
1769,admin aid,10.0,NY,MORTGAGE,11500,60,12.61
1770,,,CA,OWN,20000,60,30.79
1771,manager,5.0,AZ,MORTGAGE,15000,60,18.45
1772,project manager,10.0,GA,MORTGAGE,40000,60,14.07
1773,assistant principal ,10.0,NY,RENT,10000,60,15.04
1774,oral maxillofacial surgeon ,9.0,NY,MORTGAGE,40000,60,9.44
1775,education contractor,10.0,CA,MORTGAGE,35000,36,6.07
1776,engineer,5.0,ID,MORTGAGE,40000,36,5.31
1777,district manager ,10.0,TN,RENT,15000,60,9.43
1778,program manager,5.0,CA,RENT,18000,36,6.72
1779,shipping and receiving ,10.0,MI,MORTGAGE,12000,36,10.41
1780,sourcing manager,10.0,TX,MORTGAGE,20000,60,21.45
1781,brand ambassador/promotional model,2.0,FL,RENT,6000,36,9.92
1782,sen network analyst,10.0,AZ,MORTGAGE,30000,60,10.9
1783,operations manager,5.0,WA,RENT,5000,36,10.9
1784,security offier,5.0,FL,RENT,5000,36,13.59
1785,manager ,5.0,MI,OWN,17000,36,10.41
1786,letter carrier,10.0,TX,MORTGAGE,22000,36,6.71
1787,manager,5.0,NY,RENT,24000,60,15.04
1788,rn,5.0,ME,RENT,20000,36,18.06
1789,manager,8.0,IL,MORTGAGE,34000,36,9.44
1790,business system technician,10.0,FL,RENT,15000,36,7.35
1791,director ,2.0,CO,MORTGAGE,15000,36,7.97
1792,forklift operator,10.0,OR,RENT,10000,60,18.45
1793,court officer,10.0,NY,MORTGAGE,28000,36,15.05
1794,leasing professional,1.0,TX,RENT,5000,36,9.44
1795,dealer,1.0,NV,OWN,10000,36,12.62
1796,administrative assistant,9.0,SC,OWN,5000,36,6.07
1797,and assist,10.0,NY,MORTGAGE,20000,36,6.07
1798,registered nurse,0.0,LA,MORTGAGE,40000,60,7.34
1799,technichian,8.0,TN,MORTGAGE,5000,36,13.58
1800,nurse ,3.0,SC,MORTGAGE,17000,36,6.07
1801,rn case manager,4.0,SC,MORTGAGE,16000,60,18.45
1802,registered nurse ,5.0,MD,MORTGAGE,32000,36,9.93
1803,teaching assistant,10.0,VA,MORTGAGE,25000,60,23.88
1804,marine mechanic,6.0,WA,MORTGAGE,6500,36,10.42
1805,field sales manager,5.0,GA,RENT,24000,60,9.93
1806,teacher,10.0,FL,RENT,24000,60,13.58
1807,clinical engineer,4.0,MA,RENT,25450,36,7.97
1808,maintenance,2.0,NJ,RENT,18000,36,9.93
1809,csr,1.0,KY,RENT,3200,36,18.06
1810,fulfillment associate,3.0,FL,RENT,11250,36,10.41
1811,vp,8.0,OH,MORTGAGE,19200,60,11.98
1812,saws,1.0,OK,RENT,9000,36,7.97
1813,ditect support proffessional,7.0,MD,RENT,18000,36,6.07
1814,,,WI,OWN,4000,36,10.42
1815,category coordinator,3.0,FL,RENT,10000,60,11.98
1816,rn,8.0,MD,MORTGAGE,20000,36,13.59
1817,customer manager,3.0,MA,MORTGAGE,6025,36,15.05
1818,college store coordinator,10.0,UT,MORTGAGE,6400,36,14.07
1819,,,CA,MORTGAGE,35000,60,10.42
1820,supervisor,9.0,CA,RENT,13000,36,10.91
1821,care nurse ,7.0,FL,RENT,24000,36,6.72
1822,claims adjuster,3.0,NC,MORTGAGE,20000,60,17.47
1823,consultant,0.0,VA,RENT,1000,36,7.97
1824,lead clerk,10.0,CA,RENT,5600,36,7.96
1825,flight coordinator,10.0,TN,MORTGAGE,35000,60,9.44
1826,systems administrator,1.0,CO,RENT,17500,60,15.05
1827,machine operator,1.0,NH,RENT,15000,36,13.58
1828,store manager,10.0,CA,MORTGAGE,4800,36,9.44
1829,account manager,0.0,NM,MORTGAGE,25000,60,30.65
1830,field supervision director insurance,10.0,MO,MORTGAGE,36000,36,9.43
1831,vp of east coast operations ,0.0,IL,MORTGAGE,1650,36,7.35
1832,process engineer,3.0,NY,MORTGAGE,30000,36,6.07
1833,deputy clerk,10.0,SC,MORTGAGE,15000,60,17.09
1834,enterprise support manager,7.0,CA,RENT,25000,36,7.35
1835,case manager,7.0,MO,MORTGAGE,17500,60,10.42
1836,financial reporting manager,8.0,MD,RENT,20000,60,17.09
1837,deputy director,10.0,NY,MORTGAGE,24000,36,21.45
1838,forklift operator,5.0,IN,MORTGAGE,3500,36,11.99
1839,registered nurse,5.0,KS,RENT,6000,36,7.34
1840,tech 3 ,10.0,IN,MORTGAGE,39275,60,13.59
1841,mio specialist,10.0,NY,RENT,20000,60,17.09
1842,senior billing specialist,10.0,NE,MORTGAGE,16000,60,17.09
1843,supply management specialist,10.0,VA,OWN,8000,36,18.06
1844,tso,2.0,CA,RENT,4800,36,14.08
1845,,,TX,OWN,32000,60,20.39
1846,bakery,3.0,MO,OWN,20000,36,7.96
1847,sales,2.0,TX,MORTGAGE,40000,36,11.99
1848,reservations agent ,3.0,CA,RENT,5000,36,7.97
1849,driver / warehouse,10.0,NH,RENT,8000,36,12.61
1850,police officer,10.0,NJ,RENT,40000,60,16.01
1851,foreman,3.0,TX,RENT,22000,36,13.58
1852,conference coordinator,2.0,GA,MORTGAGE,12000,60,10.41
1853,lead line service tech,3.0,CT,RENT,10000,36,13.59
1854,weighmaster,10.0,CA,RENT,4800,36,18.45
1855,receptionist,5.0,NY,RENT,4300,36,12.62
1856,vision center sales,7.0,FL,RENT,36000,36,7.97
1857,sales executive,3.0,NJ,MORTGAGE,20000,36,21.45
1858,it analyst ii,2.0,CO,MORTGAGE,10000,36,5.32
1859,,,AZ,MORTGAGE,1100,36,11.99
1860,owner/agent,5.0,NJ,MORTGAGE,40000,36,9.44
1861,service delivery manager,1.0,MO,MORTGAGE,20000,36,6.07
1862,director,5.0,NJ,MORTGAGE,4000,36,11.99
1863,registrar,10.0,NY,RENT,12500,60,24.85
1864,private investigator ,5.0,FL,MORTGAGE,20000,60,12.61
1865,operator,6.0,TX,MORTGAGE,17425,60,9.43
1866,therapist,0.0,PA,RENT,7000,36,6.71
1867,sales and leasing agent,8.0,HI,RENT,15000,36,17.09
1868,registered nurse ,7.0,AL,RENT,7200,36,10.42
1869,,,FL,OWN,20000,36,6.72
1870,assistant professor,2.0,PA,RENT,7000,36,7.35
1871,credit manager,10.0,IN,MORTGAGE,22000,60,14.08
1872,mechanic,10.0,WY,MORTGAGE,6000,36,5.32
1873,full time rn,10.0,NY,MORTGAGE,35000,60,10.42
1874,supplier diversity ,4.0,IN,MORTGAGE,24000,60,28.72
1875,office managetr ,10.0,CT,RENT,25000,36,7.34
1876,safety manager,7.0,SC,RENT,4000,36,5.31
1877,parts dept / buyer ,10.0,MD,MORTGAGE,28000,60,15.04
1878,enterprise storage engineer ,1.0,NJ,MORTGAGE,8000,36,11.98
1879,delivery driver,2.0,TX,RENT,9600,36,10.91
1880,consultant,3.0,IL,RENT,6500,36,6.08
1881,executive assistant/ accts coord,1.0,TX,MORTGAGE,20000,60,25.82
1882,,,PA,RENT,3000,36,13.59
1883,,,FL,RENT,8000,36,16.01
1884,director of purchasing ,2.0,TX,MORTGAGE,10000,36,15.05
1885,yard master,10.0,MD,MORTGAGE,35000,60,25.81
1886,mental health tech/ staff development,10.0,IL,RENT,35000,36,14.08
1887,general manager,10.0,GA,RENT,7000,36,9.43
1888,,,GA,MORTGAGE,10500,36,9.43
1889,foreman ,10.0,GA,MORTGAGE,28000,60,9.43
1890,access service librarian,10.0,OH,MORTGAGE,15000,60,11.99
1891,maintenance engineer,10.0,MN,MORTGAGE,15000,36,10.41
1892,front office ,4.0,CO,MORTGAGE,6500,36,11.99
1893,pharmacist,10.0,CO,MORTGAGE,35000,36,7.34
1894,pse,2.0,WI,RENT,15000,36,16.02
1895,maintenance supervisor ,2.0,TX,RENT,11000,36,10.91
1896,auto advisor supervisor,10.0,NJ,MORTGAGE,30000,60,21.85
1897,cook,0.0,NC,RENT,7500,36,18.45
1898,"vp, technology",10.0,OH,MORTGAGE,21000,60,17.09
1899,auditor,10.0,NC,MORTGAGE,32000,36,9.93
1900,driver,10.0,WV,OWN,9800,36,13.59
1901,reporter,10.0,CT,RENT,4000,36,12.61
1902,branch operations,10.0,FL,MORTGAGE,25000,60,18.06
1903,application consultant,2.0,TX,MORTGAGE,15000,36,9.44
1904,nurse ,10.0,CA,MORTGAGE,12000,36,10.42
1905,,,MD,MORTGAGE,35000,36,16.01
1906,insurance agent,5.0,SC,MORTGAGE,16000,60,13.59
1907,driver ,3.0,FL,RENT,13000,36,10.42
1908,owner,10.0,OH,MORTGAGE,20000,36,7.35
1909,office manager ,10.0,VA,RENT,38000,60,15.04
1910,administrative,10.0,CA,RENT,10000,36,7.97
1911,debt collector,3.0,MA,RENT,13000,36,7.34
1912,teacher,0.0,CT,RENT,30000,60,23.88
1913,teller,6.0,KY,MORTGAGE,34800,36,10.41
1914,associate professor,5.0,TX,RENT,30000,36,20.0
1915,warehouse associate,1.0,CA,MORTGAGE,6500,36,10.9
1916,nurse,10.0,VA,MORTGAGE,10000,60,13.59
1917,computer technician,10.0,TN,RENT,40000,60,11.99
1918,mechanic,3.0,CA,MORTGAGE,25000,60,16.01
1919,counselor,8.0,OH,MORTGAGE,19000,36,16.01
1920,flight attendant,10.0,NJ,RENT,16000,36,7.96
1921,,,CA,OWN,13700,36,5.32
1922,program manager,10.0,MD,MORTGAGE,40000,36,10.91
1923,cna,2.0,MD,MORTGAGE,6000,36,7.35
1924,western regional manager,10.0,WA,MORTGAGE,40000,60,15.04
1925,owner,10.0,PA,RENT,12000,36,21.85
1926,bilingual case manager ,2.0,DC,OWN,35000,36,12.62
1927,attorney,0.0,PA,RENT,17000,36,7.35
1928,,,MA,RENT,6025,36,10.41
1929,finance manager,6.0,CA,RENT,12000,36,10.91
1930,nursing assistant,3.0,CA,OWN,7800,36,7.34
1931,design sales,10.0,CT,MORTGAGE,28000,36,19.03
1932,administrative secretary ,10.0,CA,RENT,10000,36,7.97
1933,auto body estimator,0.0,VA,MORTGAGE,25000,60,12.62
1934,truck driver,7.0,CT,MORTGAGE,16000,60,13.58
1935,owner,10.0,NC,RENT,12000,36,12.62
1936,claims clerk,10.0,AZ,RENT,2800,36,14.08
1937,,,AZ,MORTGAGE,25000,60,13.58
1938,attorney,4.0,IN,MORTGAGE,35000,36,7.97
1939,sales consultant,3.0,CA,RENT,20000,36,15.05
1940,,,CA,MORTGAGE,10000,36,6.72
1941,engineering project manager,4.0,TX,MORTGAGE,20000,36,5.32
1942,staffing coordinator,10.0,CA,RENT,6000,36,20.0
1943,registered nurse ,10.0,NY,OWN,10000,36,5.31
1944,project manager ,0.0,NC,OWN,12000,36,13.58
1945,,,TX,MORTGAGE,10000,36,10.9
1946,office manager,10.0,WV,OWN,12500,36,6.71
1947,owner,10.0,NC,MORTGAGE,20000,60,11.99
1948,licensed lending officer,1.0,TX,RENT,12000,36,10.41
1949,manager,7.0,ME,RENT,4000,36,9.92
1950,modeler,1.0,NV,RENT,10000,60,12.61
1951,automotive equipment mechanic,10.0,CA,RENT,10000,36,11.98
1952,assist manager ,3.0,OH,RENT,2800,36,10.42
1953,senior transportation surveyor,10.0,CA,MORTGAGE,5000,36,6.72
1954,engineering specialist,10.0,MD,MORTGAGE,32000,60,15.05
1955,erse 4,10.0,NY,RENT,9600,36,13.58
1956,qa analyst,0.0,MD,MORTGAGE,15000,60,17.09
1957,,10.0,AZ,RENT,14400,36,9.92
1958,paralegal,5.0,TX,MORTGAGE,10000,36,10.42
1959,store manager,2.0,AZ,RENT,21000,36,16.01
1960,analyst general,10.0,TX,MORTGAGE,40000,36,5.32
1961,floor manager,0.0,RI,OWN,10000,60,20.39
1962,payroll mgr,10.0,PA,OWN,1000,36,11.99
1963,president,10.0,FL,MORTGAGE,17150,36,6.72
1964,compliance consultant,6.0,FL,RENT,16000,36,15.04
1965,district sales manager,2.0,NY,MORTGAGE,24000,36,9.93
1966,,,KS,RENT,20000,36,10.91
1967,soldier,2.0,NY,RENT,28000,36,6.0
1968,service tech,2.0,OK,RENT,25000,60,10.42
1969,medical record qa,10.0,CA,RENT,6000,36,7.35
1970,,,NC,OWN,40000,60,9.93
1971,office manager,10.0,TX,MORTGAGE,15000,36,11.99
1972,lead medical secretary,4.0,AZ,RENT,15000,36,7.34
1973,project specialist,1.0,MN,OWN,25000,36,18.45
1974,senior developer,10.0,VA,MORTGAGE,10000,36,7.97
1975,customer service specialist,4.0,MD,RENT,15000,60,28.72
1976,president,10.0,WA,MORTGAGE,30000,36,6.08
1977,dental assistance/administration ,6.0,OR,MORTGAGE,25000,60,12.61
1978,lab tech,10.0,OH,OWN,28000,60,16.02
1979,register nurse,9.0,OH,MORTGAGE,25000,60,12.62
1980,truck driver,10.0,MA,RENT,13000,36,7.97
1981,administrator,10.0,SC,MORTGAGE,10000,36,9.44
1982,checker,10.0,CO,RENT,2000,36,13.59
1983,,,SC,OWN,10000,36,11.98
1984,press operator ,10.0,MI,OWN,7000,36,10.91
1985,it technical lead,8.0,FL,MORTGAGE,30000,60,26.77
1986,president,8.0,CA,OWN,20000,36,5.32
1987,,,MS,OWN,10000,36,12.62
1988,family and community advocate ,4.0,CO,RENT,7000,36,13.59
1989,supply chain specialist,10.0,MN,RENT,23000,60,19.03
1990,analyst ,1.0,CA,RENT,20000,60,24.84
1991,svp client management,10.0,CA,RENT,35000,60,17.47
1992,program analyst,10.0,OR,RENT,10000,60,9.43
1993,owner,10.0,IN,OWN,10000,36,7.35
1994,h&s inspector,8.0,NY,RENT,15000,36,10.41
1995,head baseball coach,5.0,IL,MORTGAGE,6000,36,11.99
1996,hha ,7.0,NY,RENT,6000,36,16.01
1997,foreman,10.0,NY,MORTGAGE,13650,60,12.62
1998,cyber warfare,8.0,CO,MORTGAGE,20000,36,9.43
1999,poker dealer,10.0,NV,OWN,10000,36,6.08
2000,estimator,10.0,TX,MORTGAGE,35725,36,10.91
2001,route sales rep,5.0,PA,MORTGAGE,3000,36,7.97
2002,6th grade teacher,0.0,CA,RENT,12000,36,13.59
2003,,,WI,MORTGAGE,10000,36,16.02
2004,sous chef,10.0,CA,RENT,12000,36,7.34
2005,management services director,10.0,WI,RENT,4600,36,14.07
2006,dental hygienist,0.0,TX,RENT,13000,60,9.44
2007,cocktail ,3.0,LA,OWN,10000,36,12.61
2008,electrician,9.0,NC,MORTGAGE,5700,36,7.97
2009,machine adjuster ,10.0,PA,OWN,10000,36,10.42
2010,flight attendant,9.0,NC,RENT,15000,36,7.97
2011,warehouse worker,0.0,CA,RENT,5600,36,21.45
2012,felony collections officer,10.0,TX,RENT,11000,60,17.09
2013,electrical engineer,10.0,MA,MORTGAGE,25000,60,10.42
2014,sales,4.0,IN,MORTGAGE,25000,36,6.71
2015,engineer,10.0,NJ,RENT,5000,36,9.92
2016,sales,5.0,FL,MORTGAGE,7000,36,7.34
2017,vp,0.0,FL,MORTGAGE,35000,60,21.85
2018,executive assistant/bookkeeper,3.0,NY,RENT,12000,36,5.32
2019,,,NJ,RENT,40000,36,9.43
2020,accounting manager,10.0,MA,MORTGAGE,20000,60,7.34
2021,patient transport,3.0,CT,OWN,3500,36,26.3
2022,owner,7.0,NC,MORTGAGE,2500,36,12.61
2023,manager ge,2.0,VA,MORTGAGE,15000,60,11.98
2024,assembly ,4.0,KS,RENT,10000,36,9.43
2025,registered nurse,1.0,NY,MORTGAGE,12000,36,10.42
2026,registered nurse,10.0,PA,MORTGAGE,14000,36,10.9
2027,vice president,9.0,MA,MORTGAGE,10500,36,10.9
2028,rental consultant,5.0,CO,RENT,10000,36,6.72
2029,,,NE,RENT,10200,36,7.96
2030,live hanger,9.0,DE,OWN,10000,36,13.58
2031,,,CA,MORTGAGE,15000,60,7.34
2032,project engineer ,1.0,CO,RENT,25200,36,15.04
2033,customer success manager,8.0,CO,MORTGAGE,5000,36,6.08
2034,assistant district attorney ,10.0,NY,MORTGAGE,12000,36,7.96
2035,wareworker,5.0,DE,MORTGAGE,4000,36,6.07
2036,mechanic,10.0,CA,MORTGAGE,36000,60,10.9
2037,manager,2.0,MN,MORTGAGE,6000,36,6.72
2038,workers compensation ,8.0,PA,OWN,1200,36,11.99
2039,plumber,0.0,WA,MORTGAGE,10000,36,15.04
2040,,,FL,MORTGAGE,17950,36,16.01
2041,home provider,10.0,KY,MORTGAGE,14000,36,7.34
2042,technology team leader,5.0,MI,MORTGAGE,11000,36,7.35
2043,senior systems architect,3.0,AZ,MORTGAGE,40000,36,5.31
2044,owner ,10.0,FL,RENT,25000,60,13.59
2045,teacher,3.0,AL,MORTGAGE,1800,36,9.43
2046,,,MI,MORTGAGE,7200,36,7.97
2047,project associate,6.0,NY,RENT,8000,36,6.07
2048,air traffic controller,3.0,CA,RENT,14000,36,11.99
2049,accounts payable,1.0,TX,RENT,21000,60,14.08
2050,patient safety companion,1.0,NC,RENT,10000,36,15.04
2051,community development officer,3.0,CA,RENT,20000,36,7.35
2052,project control,7.0,ND,MORTGAGE,30000,36,9.43
2053,program coordinator ,1.0,FL,MORTGAGE,18000,36,11.98
2054,management ,10.0,FL,OWN,28000,36,5.32
2055,licensed nurse,1.0,DE,RENT,35000,60,18.06
2056,relationship specialist,5.0,TX,MORTGAGE,12000,36,11.98
2057,settlement officer ,10.0,CA,RENT,18000,36,10.9
2058,registered nurse,2.0,WI,RENT,30000,60,21.45
2059,owner,10.0,NJ,RENT,14000,60,11.98
2060,sr account executive,9.0,CA,MORTGAGE,36000,36,6.07
2061,bc111,10.0,GA,MORTGAGE,5500,36,6.72
2062,program coordinator,10.0,CA,RENT,16000,60,10.41
2063,,,CO,MORTGAGE,40000,36,7.35
2064,horticulture inspector ,2.0,NY,RENT,10000,36,10.9
2065,purchasing supervisor,5.0,CA,MORTGAGE,14000,60,19.03
2066,assistant financial controller,3.0,NY,MORTGAGE,19000,36,6.71
2067,baggage handler,10.0,TX,MORTGAGE,12000,36,11.99
2068,content review specialist,0.0,CA,RENT,7000,36,10.42
2069,registered nurse,10.0,MA,RENT,20000,60,17.47
2070,attorney,10.0,OH,RENT,10000,36,9.93
2071,human resources ,6.0,RI,RENT,10500,60,15.05
2072,truck driver,6.0,NJ,MORTGAGE,15000,60,10.9
2073,machine operator,5.0,WA,MORTGAGE,18000,36,13.59
2074,assistant district attorney,2.0,NY,RENT,13600,36,19.03
2075,delivery driver,10.0,TN,MORTGAGE,20000,36,19.42
2076,detailer,4.0,WA,RENT,3000,36,19.03
2077,sales manager,0.0,MD,MORTGAGE,4100,36,14.08
2078,deputy,10.0,KS,MORTGAGE,7300,36,6.08
2079,shop forman,10.0,TX,MORTGAGE,20000,36,5.31
2080,carpenter,10.0,VT,MORTGAGE,20000,60,13.59
2081,accounting clerk,7.0,CA,RENT,28000,36,16.02
2082,salesman,10.0,CA,RENT,35000,36,14.08
2083,,,WV,MORTGAGE,10000,36,6.07
2084,personal banker,6.0,NJ,RENT,5000,36,11.98
2085,social worker,1.0,IL,RENT,35000,36,13.59
2086,software product manager,10.0,MN,RENT,16000,36,10.41
2087,driver,3.0,CT,RENT,30000,60,20.0
2088,sgt,4.0,WA,RENT,4400,36,7.97
2089,bus driver,10.0,LA,OWN,10000,36,9.44
2090,surgical tech,4.0,WI,MORTGAGE,8500,36,14.08
2091,custodian,4.0,NY,RENT,20000,36,21.45
2092,facilities technician ,10.0,IL,OWN,9000,36,9.93
2093,project engineer,10.0,PA,MORTGAGE,24000,36,12.61
2094,superintendent ,10.0,TX,OWN,10000,36,5.32
2095,chief petty officer,10.0,IL,RENT,10000,36,7.96
2096,administrative specialist,2.0,CA,RENT,9500,36,5.32
2097,plant manager ,4.0,IN,MORTGAGE,8000,36,7.35
2098,crew,0.0,OH,RENT,10000,60,16.02
2099,account manager,10.0,OR,MORTGAGE,15000,36,5.32
2100,doorman ,10.0,NV,MORTGAGE,23000,60,6.72
2101,renal social worker,3.0,MN,RENT,12000,60,26.3
2102,owner/builder,10.0,VT,MORTGAGE,10000,60,12.62
2103,owner ,2.0,OR,MORTGAGE,35000,36,19.42
2104,rn,10.0,WA,RENT,10000,36,11.98
2105,manager,9.0,NY,OWN,6500,36,10.42
2106,,,ID,RENT,10000,36,7.97
2107,coo,5.0,KS,MORTGAGE,40000,36,9.43
2108,,,FL,OWN,16000,36,16.02
2109,supervisor,10.0,NY,RENT,4000,36,10.42
2110,operations manager,2.0,CT,MORTGAGE,5000,36,9.43
2111,sales,3.0,CO,OWN,20000,36,14.08
2112,security bike officer,1.0,NV,MORTGAGE,3500,36,20.0
2113,teacher,3.0,CA,RENT,15000,60,20.0
2114,pct ,2.0,SD,MORTGAGE,15000,36,10.41
2115, lead hydraulic mechanic,10.0,CO,RENT,11400,60,18.45
2116,music director,5.0,NC,MORTGAGE,24000,60,12.62
2117,safety coordinator,10.0,TX,OWN,20000,36,10.42
2118,software architect,8.0,CA,MORTGAGE,40000,36,5.31
2119,landscaper ,10.0,MA,MORTGAGE,15000,36,11.99
2120,radiology department,8.0,NY,MORTGAGE,8475,36,10.9
2121,book keeper,10.0,MS,OWN,30000,60,17.09
2122,law enforcement officer,3.0,FL,RENT,7000,36,5.32
2123,foreman,4.0,TX,OWN,25000,36,22.9
2124,medical assistant,3.0,CA,RENT,10000,36,10.42
2125,lift truck operator,10.0,NJ,RENT,16000,60,10.42
2126,pharmacist,10.0,CO,MORTGAGE,15000,36,6.07
2127,officer,10.0,CA,MORTGAGE,40000,60,14.07
2128,project manager,3.0,VA,RENT,40000,36,10.9
2129,senior cad drafter,4.0,CA,OWN,10000,36,10.91
2130,marketing coordinator,0.0,WI,RENT,3000,36,17.47
2131,custodian,10.0,WY,MORTGAGE,2500,36,12.62
2132,barber,1.0,FL,MORTGAGE,20000,36,7.96
2133,,,CA,RENT,10000,36,7.97
2134,professor,10.0,MD,RENT,16000,60,13.58
2135,assistant manager,5.0,MD,OWN,20000,60,26.77
2136,rn,10.0,GA,MORTGAGE,6000,36,9.43
2137,battery commander,10.0,OK,RENT,25000,36,23.88
2138,assistant service manager,4.0,FL,RENT,9600,36,11.99
2139,primary nurse case admin,2.0,TX,MORTGAGE,24000,36,6.07
2140,"vice president, regulatory affairs ",4.0,MA,MORTGAGE,25000,36,14.08
2141,secretary,4.0,MI,RENT,5000,36,14.07
2142,general clerk,2.0,UT,MORTGAGE,20000,36,15.04
2143,senior purchasing agent,10.0,NY,OWN,20000,36,7.34
2144,quality inspection,9.0,MN,MORTGAGE,26400,60,9.43
2145,resident physician,6.0,TX,RENT,10000,60,9.92
2146,store manager,3.0,NJ,RENT,25000,36,19.03
2147,sales manager,6.0,IL,RENT,10000,60,15.04
2148,sales consultant,2.0,PA,RENT,1600,36,13.59
2149,manager,10.0,NJ,MORTGAGE,15000,36,11.99
