,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
1393,clinical tech,3.0,MS,RENT,55000.0,Not Verified,4.67,,,,0,43.0,2005,1,44,19,239043,281196,0,0,43.0,0,0,12,5,3.0,19,0.0,0,4,13200,13,6,4,0,93.2,0,0,credit_card,individual,16000,60,10.91,347.17,B,B4,Jan-2018,Current,whole,Cash,14972.98,1786.41,1027.02,759.39,0.0
1403,welder,0.0,IN,MORTGAGE,80000.0,Not Verified,16.16,,,,0,67.0,2010,2,10,6,184826,135820,0,0,,0,0,1,2,3.0,6,0.0,0,1,9000,6,5,3,0,90.0,0,0,credit_card,individual,10000,36,5.32,301.15,A,A1,Feb-2018,Current,whole,DirectPay,9226.13,900.49,773.87,126.62,0.0
1406,project mgr,5.0,NC,RENT,85000.0,Not Verified,3.52,,,,0,29.0,2003,1,6,5,9100,5433,0,1,,0,331,0,1,2.0,5,0.0,0,5,9100,5,5,5,0,83.3,0,1,credit_card,individual,7500,36,9.93,241.76,B,B2,Feb-2018,Current,fractional,Cash,6772.24,958.76,727.76,231.0,0.0
1409,business manager,10.0,MA,RENT,65000.0,Not Verified,17.65,,,,0,62.0,1984,0,27,16,109218,26805,0,0,62.0,0,0,2,3,,16,0.0,0,7,65700,17,14,7,2,92.6,0,0,debt_consolidation,individual,6025,36,5.31,181.42,A,A1,Mar-2018,Current,whole,Cash,5558.66,542.48,466.34,76.14,0.0
1430,machine tender,10.0,CT,RENT,139000.0,Not Verified,13.55,,,,0,31.0,1997,3,27,9,357130,47176,0,0,31.0,0,0,3,3,4.0,9,0.0,0,4,18200,13,4,4,7,85.2,0,0,debt_consolidation,individual,19000,36,7.96,595.05,A,A5,Mar-2018,Current,whole,Cash,18058.86,1173.3,941.14,232.16,0.0
1440,analyst,6.0,MD,MORTGAGE,65000.0,Source Verified,4.87,,,,0,46.0,2011,1,15,10,402717,24771,0,0,,0,0,2,4,3.0,10,0.0,0,4,37800,9,7,4,1,93.3,0,0,debt_consolidation,individual,15000,36,9.44,480.08,B,B1,Jan-2018,Current,whole,Cash,13534.5,1920.13,1465.5,454.63,0.0
1444,specimen processor,5.0,IL,MORTGAGE,112000.0,Source Verified,17.65,,,,0,66.0,2000,7,42,27,236499,62187,0,1,,0,0,4,11,1.0,26,0.0,0,5,33800,31,22,11,1,97.4,0,1,debt_consolidation,individual,13000,36,5.32,391.5,A,A1,Jan-2018,Current,whole,DirectPay,11315.8,1949.82,1684.2,265.62,0.0
1452,correctional officer,10.0,NY,MORTGAGE,125000.0,Not Verified,11.29,,,,0,29.0,2002,6,36,9,320115,22003,0,0,,0,0,2,6,5.0,9,0.0,0,0,7000,21,6,3,7,80.6,0,0,home_improvement,individual,5000,36,6.71,153.73,A,A3,Mar-2018,Current,fractional,Cash,4747.75,305.6,252.25,53.35,0.0
1460,naval officer (future operations),10.0,VA,OWN,120000.0,Source Verified,16.11,,,,0,43.0,1989,0,25,13,496784,90819,0,0,,0,0,1,2,19.0,13,0.0,0,3,65000,15,11,8,4,96.0,0,0,other,individual,3000,36,10.9,98.08,B,B4,Mar-2018,Current,whole,Cash,2785.57,292.42,214.43,77.99,0.0
1491,empowerment leader,10.0,IL,MORTGAGE,180000.0,Source Verified,9.31,,,,0,54.0,2006,2,37,21,394641,99831,0,0,61.0,0,1399,4,7,2.0,21,0.0,0,8,88400,16,14,10,2,85.3,0,0,credit_card,individual,8500,36,9.92,273.96,B,B2,Mar-2018,Current,whole,Cash,7883.85,824.23,616.15,208.08,0.0
1496,teacher,10.0,FL,RENT,41000.0,Not Verified,8.99,,,,0,35.0,2005,0,18,9,43611,7048,0,0,80.0,0,0,0,2,23.0,9,0.0,0,4,28500,15,8,6,0,88.9,0,0,debt_consolidation,individual,1000,36,7.35,31.04,A,A4,Jan-2018,Current,whole,Cash,873.89,154.38,126.11,28.27,0.0
1519,owner,0.0,AL,OWN,25000.0,Verified,6.72,,,,0,72.0,2009,2,28,6,114005,3185,0,0,,0,0,1,4,0.0,6,0.0,0,1,16900,6,3,1,2,96.4,0,0,other,individual,8000,36,10.9,261.54,B,B4,Feb-2018,Fully Paid,whole,Cash,0.0,8141.5294346127,8000.0,141.53,0.0
1542,"sr manager, global payroll",0.0,CA,MORTGAGE,211000.0,Not Verified,2.53,,,,0,25.0,2007,2,15,9,579093,21517,0,1,,0,0,1,5,5.0,9,0.0,0,3,28500,7,7,5,5,93.3,0,1,credit_card,individual,10000,36,5.31,301.11,A,A1,Mar-2018,Current,whole,DirectPay,9485.14,599.27,514.86,84.41,0.0
1543,employee health care specialist,10.0,WA,MORTGAGE,85000.0,Not Verified,11.18,,,,0,46.0,1993,1,25,9,318823,47525,0,0,,0,0,3,1,10.0,9,0.0,0,3,50200,7,5,3,5,95.8,0,0,home_improvement,individual,7000,36,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,1060.14,897.77,162.37,0.0
1557,account executive,9.0,NC,MORTGAGE,79500.0,Source Verified,13.62,,,,0,67.0,1987,0,11,5,322754,32717,0,0,,0,0,1,2,,5,0.0,0,2,29000,4,3,2,1,90.9,0,0,credit_card,individual,22000,36,6.72,676.49,A,A3,Jan-2018,Current,fractional,Cash,19202.39,3366.02,2797.61,568.41,0.0
1574,money ctr ,10.0,OR,MORTGAGE,65000.0,Source Verified,18.85,,,,0,67.0,1998,2,23,17,264145,24802,0,1,,0,104,1,7,2.0,17,0.0,0,3,31200,18,15,6,2,95.5,0,1,debt_consolidation,individual,12000,36,6.72,369.0,A,A3,Feb-2018,Current,whole,DirectPay,10782.62,1480.48,1217.38,263.1,0.0
1582,assistant director,3.0,GA,MORTGAGE,40000.0,Source Verified,14.22,136000.0,Source Verified,21.55,0,74.0,2004,0,14,6,51099,27985,0,0,,0,0,1,3,,6,0.0,0,1,19800,8,5,2,0,92.9,0,0,debt_consolidation,joint,35000,60,9.44,734.04,B,B1,Jan-2018,Current,whole,Cash,32670.1,3651.84,2329.9,1321.94,0.0
1599,staff rn,2.0,MD,RENT,82000.0,Source Verified,10.54,,,,0,63.0,2004,2,22,10,74245,37396,0,0,,0,0,2,3,8.0,10,0.0,0,5,50900,15,8,6,0,95.5,0,0,credit_card,individual,15000,36,6.07,456.81,A,A2,Mar-2018,Current,whole,Cash,13851.4,1365.37,1148.6,216.77,0.0
1600, coordinator ,1.0,CA,RENT,40000.0,Source Verified,14.46,,,,0,36.0,2006,5,11,7,28740,18679,0,0,,0,0,2,3,5.0,7,0.0,0,2,9100,8,5,4,0,90.9,0,0,debt_consolidation,individual,5400,36,10.42,175.31,B,B3,Jan-2018,Current,whole,Cash,4746.65,873.42,653.35,220.07,0.0
1611,programs servicing specialist ii,10.0,AZ,RENT,54250.0,Verified,14.02,,,,0,47.0,1994,1,11,6,40352,27220,0,0,47.0,0,4755,1,5,2.0,6,0.0,0,4,22500,5,4,4,0,100.0,0,0,debt_consolidation,individual,12000,36,11.99,398.52,B,B5,Jan-2018,Current,whole,Cash,10868.71,1586.09,1131.29,454.8,0.0
1623,general manager asset services,0.0,TX,MORTGAGE,200000.0,Source Verified,9.03,267000.0,,10.15,0,32.0,1992,0,17,7,414105,48277,0,0,,0,0,1,1,16.0,7,0.0,0,2,25200,8,5,2,4,76.5,0,0,debt_consolidation,joint,35000,36,10.41,1136.11,B,B3,Mar-2018,Current,whole,DirectPay,32483.0,3367.85,2517.0,850.85,0.0
1631,engineer,4.0,VA,OWN,99000.0,Not Verified,13.07,,,,0,59.0,2005,0,11,5,61606,40256,0,0,59.0,0,0,1,1,,5,0.0,0,3,30400,7,4,3,1,90.9,0,0,other,individual,19000,36,7.96,595.05,A,A5,Mar-2018,Current,whole,Cash,13331.95,5983.35,5668.05,315.3,0.0
1645,director of account management ,10.0,FL,MORTGAGE,90000.0,Source Verified,12.14,,,,0,53.0,2004,1,19,10,222257,30038,0,0,,0,176,1,6,4.0,10,0.0,0,4,18100,10,8,8,3,94.7,0,0,debt_consolidation,individual,12000,36,9.43,384.01,B,B1,Mar-2018,Current,whole,DirectPay,11124.02,1139.46,875.98,263.48,0.0
1680,project manager,4.0,MD,RENT,132000.0,Source Verified,13.51,,,,0,52.0,2001,2,15,6,267145,198809,0,0,52.0,0,0,2,4,2.0,6,0.0,0,2,17100,7,4,4,0,93.3,0,0,debt_consolidation,individual,40000,36,7.97,1252.91,A,A5,Jan-2018,Current,whole,Cash,34997.78,6246.84,5002.22,1244.62,0.0
1690,contracting officer,2.0,WA,RENT,38411.0,Not Verified,9.41,,,,0,47.0,2007,1,26,12,68553,56754,0,0,47.0,0,0,9,4,2.0,12,0.0,0,0,0,6,3,3,0,92.3,0,0,debt_consolidation,individual,16000,36,10.91,523.14,B,B4,Feb-2018,Current,whole,Cash,14468.58,2082.86,1531.42,551.44,0.0
1716,"svp, americas",3.0,CA,MORTGAGE,280000.0,Source Verified,9.36,,,,0,40.0,2005,3,17,8,817553,48645,0,0,,0,3450,4,4,5.0,8,0.0,0,1,10000,4,3,2,3,76.5,0,0,home_improvement,individual,12000,36,10.41,389.53,B,B3,Mar-2018,Current,whole,Cash,11136.26,1154.71,863.74,290.97,0.0
1721,it specialist,7.0,MD,RENT,116365.0,Not Verified,9.42,,,,0,70.0,2002,3,39,10,160261,69197,0,0,70.0,0,0,2,8,6.0,10,0.0,0,2,70000,16,8,2,3,97.4,0,0,credit_card,individual,12000,36,5.31,361.33,A,A1,Mar-2018,Current,whole,Cash,11071.21,1080.45,928.79,151.66,0.0
1744,director technology,6.0,CA,RENT,250000.0,Not Verified,8.56,,,,0,25.0,2000,1,21,10,137107,56938,0,0,25.0,0,0,2,1,3.0,10,0.0,0,2,43500,14,7,4,1,90.5,0,0,debt_consolidation,individual,40000,36,10.41,1298.41,B,B3,Mar-2018,Current,fractional,Cash,37120.94,3848.96,2879.06,969.9,0.0
1778,program manager,5.0,CA,RENT,97000.0,Source Verified,8.56,,,,0,33.0,2014,1,16,12,78813,24379,0,0,,0,0,2,5,11.0,12,0.0,0,4,47300,13,10,5,0,93.8,0,0,other,individual,18000,36,6.72,553.49,A,A3,Feb-2018,Current,whole,Cash,16173.97,2207.24,1826.03,381.21,0.0
1804,marine mechanic,6.0,WA,MORTGAGE,65000.0,Verified,18.82,,,,0,47.0,2003,4,35,13,340300,27022,0,0,47.0,0,0,2,13,4.0,13,0.0,0,6,30200,22,10,9,3,88.6,0,0,debt_consolidation,individual,6500,36,10.42,211.03,B,B3,Feb-2018,Current,whole,Cash,5838.25,875.36,661.75,213.61,0.0
1808,maintenance,2.0,NJ,RENT,40000.0,Not Verified,15.84,,,,0,60.0,1991,3,27,15,74405,26870,0,1,,0,0,0,5,1.0,15,,0,12,66405,25,15,8,1,96.0,1,0,debt_consolidation,individual,18000,36,9.93,580.22,B,B2,Jan-2018,Current,whole,Cash,15807.67,2891.17,2192.33,698.84,0.0
1835,case manager,7.0,MO,MORTGAGE,49000.0,Verified,13.08,98000.0,Verified,26.02,0,35.0,2000,1,20,8,125503,32285,0,0,,0,0,5,1,3.0,8,0.0,0,0,0,3,2,0,2,95.0,0,0,credit_card,joint,17500,60,10.42,375.46,B,B3,Feb-2018,Current,whole,Cash,16594.28,1491.71,905.72,585.99,0.0
1856,vision center sales,7.0,FL,RENT,55000.0,Source Verified,17.76,,,,0,61.0,2005,15,24,14,76805,31810,0,1,,0,0,1,9,4.0,14,0.0,0,5,36900,18,13,5,0,100.0,0,1,major_purchase,individual,36000,36,7.97,1127.62,A,A5,Jan-2018,Current,whole,Cash,24376.7,12614.09,11623.3,990.79,0.0
1878,enterprise storage engineer ,1.0,NJ,MORTGAGE,142000.0,Source Verified,14.92,,,,0,32.0,2013,7,23,15,570969,65221,0,0,,0,0,3,11,3.0,15,0.0,0,5,41500,16,11,9,1,95.7,0,0,debt_consolidation,individual,8000,36,11.98,265.64,B,B5,Mar-2018,Current,whole,Cash,7437.1,786.27,562.9,223.37,0.0
1889,foreman ,10.0,GA,MORTGAGE,75000.0,Verified,10.27,,,,0,49.0,2004,4,22,12,181225,40833,0,0,97.0,0,0,2,10,2.0,12,0.0,0,3,24600,12,9,3,2,86.4,0,0,small_business,individual,28000,60,9.43,587.1,B,B1,Mar-2018,Current,whole,Cash,26890.12,1746.63,1109.88,636.75,0.0
1891,maintenance engineer,10.0,MN,MORTGAGE,62000.0,Source Verified,16.9,,,,0,36.0,2005,0,18,12,149627,32471,0,0,39.0,0,0,2,7,15.0,12,0.0,0,3,13500,11,9,6,1,88.9,0,0,debt_consolidation,individual,15000,36,10.41,486.91,B,B3,Feb-2018,Current,whole,Cash,13920.33,1452.05,1079.67,372.38,0.0
1907,driver ,3.0,FL,RENT,48000.0,Source Verified,12.59,,,,0,60.0,2007,1,13,6,19924,13840,0,0,60.0,0,0,3,4,10.0,6,0.0,0,2,2600,9,3,2,0,90.0,0,0,debt_consolidation,individual,13000,36,10.42,422.05,B,B3,Jan-2018,Current,fractional,Cash,11323.8,2236.59,1676.2,560.39,0.0
1917,computer technician,10.0,TN,RENT,87000.0,Source Verified,12.03,,,,0,51.0,2007,1,15,5,59852,22008,0,0,51.0,0,0,2,1,7.0,5,0.0,0,2,10500,6,3,2,0,100.0,0,0,major_purchase,individual,40000,60,11.99,889.58,B,B5,Jan-2018,Current,whole,Cash,37500.99,4421.26,2499.01,1922.25,0.0
1929,finance manager,6.0,CA,RENT,168000.0,Verified,13.4,,,,0,34.0,2008,6,23,13,132274,65530,0,0,,0,0,3,14,3.0,13,0.0,0,5,60700,16,10,7,0,95.7,0,0,credit_card,individual,12000,36,10.91,392.36,B,B4,Jan-2018,Current,whole,DirectPay,10557.71,1947.25,1442.29,504.96,0.0
1945,,,TX,MORTGAGE,60000.0,Not Verified,11.76,142000.0,Not Verified,11.48,0,81.0,2003,0,23,11,47205,20071,0,1,,0,1488,1,3,14.0,11,0.0,0,2,3000,16,10,6,0,95.2,0,1,debt_consolidation,joint,10000,36,10.9,326.92,B,B4,Mar-2018,Current,whole,Cash,9525.68,647.78,474.32,173.46,0.0
1948,licensed lending officer,1.0,TX,RENT,100000.0,Not Verified,9.08,,,,0,54.0,2008,0,6,5,55604,44610,0,0,,0,0,1,1,,5,0.0,0,1,11000,5,4,2,0,83.3,0,0,credit_card,individual,12000,36,10.41,389.53,B,B3,Mar-2018,Current,whole,Cash,11426.66,765.18,573.34,191.84,0.0
1952,assist manager ,3.0,OH,RENT,42000.0,Not Verified,0.63,,,,0,32.0,1993,0,12,3,5500,1075,0,0,56.0,0,0,0,3,15.0,3,0.0,0,1,5500,7,3,1,0,91.7,0,0,debt_consolidation,individual,2800,36,10.42,90.91,B,B3,Feb-2018,Current,whole,Cash,2530.12,362.02,269.88,92.14,0.0
1974,senior developer,10.0,VA,MORTGAGE,130000.0,Not Verified,17.28,,,,0,31.0,1997,2,28,10,800792,234410,0,0,40.0,0,0,2,5,7.0,10,0.0,0,3,22800,17,6,5,3,75.0,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Feb-2018,Current,whole,Cash,9254.62,952.98,745.38,207.6,0.0
1998,cyber warfare,8.0,CO,MORTGAGE,110000.0,Source Verified,16.31,,,,0,65.0,2003,1,19,6,478157,73780,0,0,72.0,0,320,2,5,12.0,6,0.0,0,3,19500,8,3,3,3,84.2,0,0,debt_consolidation,individual,20000,36,9.43,640.01,B,B1,Mar-2018,Current,whole,Cash,18540.05,1930.51,1459.95,470.56,0.0
2016,sales,5.0,FL,MORTGAGE,55000.0,Not Verified,3.51,,,,0,61.0,1990,2,11,9,161511,3872,1,0,61.0,0,1305,0,4,5.0,9,0.0,0,2,4800,6,6,5,2,90.9,0,0,debt_consolidation,individual,7000,36,7.34,217.23,A,A4,Mar-2018,Current,whole,Cash,6473.55,645.98,526.45,119.53,0.0
2019,,,NJ,RENT,65000.0,Not Verified,19.68,168000.0,Not Verified,18.03,0,79.0,2005,1,12,10,72447,38079,0,0,,0,0,2,1,1.0,10,0.0,0,5,26900,9,8,5,0,91.7,0,0,other,joint,40000,36,9.43,1280.01,B,B1,Mar-2018,Current,fractional,Cash,37080.14,3819.07,2919.86,899.21,0.0
2031,,,CA,MORTGAGE,80000.0,Not Verified,15.71,,,,0,64.0,2005,1,20,7,494249,29632,0,0,78.0,0,914,2,1,2.0,7,0.0,0,1,6900,4,4,2,1,94.1,0,0,debt_consolidation,individual,15000,60,7.34,299.44,A,A4,Mar-2018,Current,whole,Cash,14373.11,892.2,626.89,265.31,0.0
2097,plant manager ,4.0,IN,MORTGAGE,160000.0,Source Verified,6.1,,,,0,26.0,1997,6,12,5,389787,23494,0,0,26.0,0,0,2,3,8.0,5,0.0,0,0,5300,4,1,0,4,66.7,0,0,debt_consolidation,individual,8000,36,7.35,248.3,A,A4,Jan-2018,Current,whole,Cash,6991.22,1238.23,1008.78,229.45,0.0
2110,operations manager,2.0,CT,MORTGAGE,90000.0,Not Verified,7.51,,,,0,43.0,1994,1,15,6,204460,19714,0,0,,0,156,2,3,2.0,6,0.0,0,2,8300,8,3,3,2,80.0,0,0,debt_consolidation,individual,5000,36,9.43,160.01,B,B1,Feb-2018,Current,whole,Cash,4634.99,477.41,365.01,112.4,0.0
2129,senior cad drafter,4.0,CA,OWN,52000.0,Source Verified,10.11,,,,0,33.0,2001,0,15,7,183924,14177,0,0,,0,0,1,4,19.0,7,0.0,0,3,8000,9,5,5,2,93.3,0,0,credit_card,individual,10000,36,10.91,326.97,B,B4,Jan-2018,Current,fractional,Cash,8798.07,1607.58,1201.93,405.65,0.0
2167,vet technician ,5.0,FL,RENT,38400.0,Not Verified,15.68,,,,0,82.0,2007,0,5,3,22860,9849,0,0,82.0,0,515,1,1,,3,0.0,0,2,2900,4,2,2,0,100.0,0,0,debt_consolidation,individual,1000,36,10.41,32.47,B,B3,Mar-2018,Current,whole,Cash,927.99,96.25,72.01,24.24,0.0
2178,director,10.0,MI,OWN,83000.0,Source Verified,17.52,,,,0,48.0,2002,1,28,10,84553,25925,0,0,62.0,0,0,1,3,1.0,10,0.0,0,4,44500,20,9,7,1,92.9,0,0,credit_card,individual,12000,36,6.72,369.0,A,A3,Feb-2018,Current,whole,Cash,10782.62,1471.52,1217.38,254.14,0.0
2192,administrator,10.0,CA,RENT,105000.0,Not Verified,13.51,,,,0,73.0,2002,1,32,13,77937,46535,0,0,,0,0,5,5,9.0,13,0.0,0,1,17700,18,8,3,0,93.5,0,0,credit_card,individual,8500,36,7.35,263.82,A,A4,Jan-2018,Current,whole,Cash,7428.16,1312.16,1071.84,240.32,0.0
2204,general contractor ,10.0,CA,RENT,90000.0,Not Verified,7.68,,,,0,77.0,2001,1,11,5,26832,14997,0,1,,0,0,1,0,1.0,5,0.0,0,4,8800,8,4,4,1,90.9,0,1,debt_consolidation,individual,7000,36,9.44,224.04,B,B1,Jan-2018,Current,fractional,DirectPay,6142.28,1116.53,857.72,258.81,0.0
2209,senior salesforce developer/architect,2.0,CT,RENT,185000.0,Not Verified,4.75,,,,0,75.0,2007,4,16,8,298154,24491,0,0,75.0,0,0,1,4,6.0,8,0.0,0,6,49800,8,6,6,1,93.3,0,0,debt_consolidation,individual,35000,60,9.92,742.27,B,B2,Mar-2018,Current,whole,Cash,33629.93,2188.23,1370.07,818.16,0.0
2217,tsr,4.0,CA,MORTGAGE,60000.0,Source Verified,15.46,,,,0,27.0,1997,1,23,16,346000,26544,0,0,27.0,0,10643,0,4,6.0,16,0.0,0,6,23600,18,14,12,3,95.7,0,0,house,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9270.01,949.55,729.99,219.56,0.0
2249,office manager,8.0,OH,MORTGAGE,37000.0,Not Verified,5.84,,,,0,52.0,2004,0,10,4,9000,3928,0,0,52.0,0,0,0,2,17.0,4,0.0,0,1,1200,4,4,3,2,90.0,0,0,credit_card,individual,6500,36,9.93,209.53,B,B2,Jan-2018,Current,whole,Cash,5708.29,1044.06,791.71,252.35,0.0
2257,rn,2.0,GA,RENT,65000.0,Verified,9.37,,,,0,28.0,2000,0,18,7,29158,16497,0,0,28.0,0,257,1,2,,7,0.0,0,1,1500,10,6,3,0,83.3,0,0,debt_consolidation,individual,24000,36,10.41,779.05,B,B3,Mar-2018,Current,whole,Cash,22272.55,2323.27,1727.45,595.82,0.0
2259,medical assistant,2.0,AZ,MORTGAGE,39000.0,Source Verified,13.29,,,,0,32.0,2004,1,18,8,263415,12897,0,0,32.0,0,0,1,5,8.0,8,0.0,0,2,12500,8,6,4,2,94.4,0,0,debt_consolidation,individual,5000,36,6.08,152.3,A,A2,Jan-2018,Current,whole,DirectPay,3647.52,1448.84,1352.48,96.36,0.0
2263,labor ,2.0,NJ,RENT,92000.0,Source Verified,19.3,,,,0,26.0,2008,4,20,17,68406,32326,0,0,,0,0,7,10,0.0,17,0.0,0,4,11500,12,10,6,0,80.0,0,0,debt_consolidation,individual,9000,36,11.98,298.85,B,B5,Mar-2018,Current,fractional,Cash,8366.72,884.57,633.28,251.29,0.0
2301,sales ,4.0,FL,RENT,68000.0,Not Verified,13.01,,,,0,57.0,2006,1,13,7,33462,21696,0,2,,0,0,1,3,2.0,7,0.0,0,3,7400,9,6,6,0,92.3,2,0,debt_consolidation,individual,9000,36,10.91,294.27,B,B4,Jan-2018,Current,whole,Cash,7918.28,1465.89,1081.72,384.17,0.0
2319,sales leader,10.0,IL,MORTGAGE,316317.0,Not Verified,10.08,,,,0,59.0,1984,3,31,12,499967,94966,0,0,59.0,0,0,5,6,1.0,12,0.0,0,3,19400,11,6,4,5,93.5,0,0,debt_consolidation,individual,35525,36,11.99,1179.77,B,B5,Feb-2018,Current,fractional,Cash,32175.96,4695.42,3349.04,1346.38,0.0
2325,gm,10.0,PA,MORTGAGE,110000.0,Not Verified,4.2,,,,0,51.0,1999,4,35,11,371900,14658,0,0,51.0,0,0,1,6,7.0,11,0.0,0,4,62700,17,9,4,4,100.0,0,0,debt_consolidation,individual,24000,60,9.92,508.99,B,B2,Mar-2018,Current,whole,Cash,23376.25,1004.75,623.75,381.0,0.0
2339,warehouse,10.0,PA,MORTGAGE,110000.0,Source Verified,12.73,,,,0,58.0,2000,8,18,7,189602,72399,0,0,,0,0,2,6,1.0,7,0.0,0,1,11000,7,3,2,2,94.4,0,0,debt_consolidation,individual,9600,36,6.08,292.4,A,A2,Jan-2018,Current,whole,Cash,8617.52,1166.36,982.48,183.88,0.0
2345,senior internal auditor ,1.0,AL,MORTGAGE,76000.0,Not Verified,17.12,,,,0,47.0,2005,6,40,20,77544,36125,0,0,50.0,0,0,2,9,1.0,20,0.0,0,4,22300,31,18,13,2,90.0,0,0,credit_card,individual,4800,36,11.99,159.41,B,B5,Jan-2018,Current,whole,Cash,4231.5,789.06,568.5,220.56,0.0
2367,mechanical engineer,3.0,MA,MORTGAGE,53574.0,Source Verified,10.02,,,,0,37.0,2008,0,11,6,29600,13867,0,0,,0,0,2,1,23.0,6,0.0,0,2,14600,5,4,2,0,80.0,0,0,credit_card,individual,10000,60,10.42,214.55,B,B3,Feb-2018,Current,whole,DirectPay,9392.44,936.62,607.56,329.06,0.0
2381,counselor,3.0,FL,OWN,142000.0,Source Verified,11.27,,,,0,27.0,1998,2,23,14,188713,50294,0,0,,0,0,1,4,9.0,14,0.0,0,5,33800,12,12,9,6,95.7,0,0,debt_consolidation,individual,35000,36,7.97,1096.29,A,A5,Jan-2018,Current,whole,DirectPay,31510.1,4369.66,3489.9,879.76,0.0
2405,system engneer,7.0,FL,MORTGAGE,92000.0,Source Verified,19.73,,,,0,75.0,2004,3,32,23,933372,64417,0,0,75.0,0,0,5,6,9.0,23,0.0,0,9,50700,20,16,12,3,92.9,0,0,credit_card,individual,15000,60,10.91,325.47,B,B4,Feb-2018,Current,whole,DirectPay,14233.24,1292.79,766.76,526.03,0.0
2408,brake line operator ,10.0,MI,OWN,50000.0,Source Verified,5.09,,,,0,55.0,1994,0,10,3,116823,9446,0,0,,0,0,0,0,,3,0.0,0,0,0,5,2,2,3,90.0,0,0,debt_consolidation,individual,13200,60,10.42,283.2,B,B3,Jan-2018,Current,whole,Cash,12342.33,1408.36,857.67,550.69,0.0
2411, quality control technician ,10.0,CA,MORTGAGE,50000.0,Not Verified,18.27,,,,0,40.0,1990,1,21,14,44560,27133,0,0,,0,0,1,1,3.0,14,0.0,0,8,19500,16,13,10,0,95.2,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Current,fractional,Cash,8749.43,1561.72,1250.57,311.15,0.0
2425,team member,2.0,ME,MORTGAGE,42000.0,Not Verified,17.34,,,,0,67.0,2005,1,24,13,164754,22532,0,0,67.0,0,0,5,3,4.0,13,0.0,0,5,19100,10,7,6,1,90.9,0,0,credit_card,individual,7000,36,6.72,215.25,A,A3,Feb-2018,Current,whole,Cash,6289.86,858.39,710.14,148.25,0.0
2431,city carrier ,10.0,CA,RENT,64000.0,Not Verified,8.15,,,,0,28.0,2006,0,17,8,20400,13557,0,1,,0,0,0,2,,8,0.0,0,4,14300,9,8,5,0,94.1,0,1,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Feb-2018,Current,whole,Cash,9023.01,1269.71,976.99,292.72,0.0
2437,senior business analyst ,1.0,PA,MORTGAGE,110000.0,Not Verified,16.39,,,,0,55.0,1996,0,24,8,376991,61513,0,0,69.0,0,0,3,4,17.0,8,0.0,0,2,26700,11,4,2,2,91.7,0,0,home_improvement,individual,17075,36,6.72,525.05,A,A3,Feb-2018,Current,whole,Cash,15343.69,2093.83,1731.31,362.52,0.0
2443,network technician,10.0,NJ,RENT,101000.0,Not Verified,10.24,,,,0,62.0,1998,1,21,10,104660,32772,0,0,,0,0,2,7,8.0,10,0.0,0,6,33300,9,7,6,4,95.2,0,0,credit_card,individual,21000,36,5.31,632.32,A,A1,Feb-2018,Current,whole,DirectPay,18828.06,2523.08,2171.94,351.14,0.0
2477,social worker,4.0,RI,MORTGAGE,69000.0,Source Verified,11.5,105000.0,Not Verified,17.44,0,48.0,2004,0,21,10,198208,47364,0,0,,0,0,8,0,,10,0.0,0,1,6100,5,1,1,1,81.0,0,0,credit_card,joint,14000,36,7.96,438.46,A,A5,Mar-2018,Current,whole,Cash,12956.33,1309.19,1043.67,265.52,0.0
2481,fragrance specialist ,1.0,NY,RENT,47000.0,Not Verified,4.96,,,,0,59.0,1997,0,11,6,8800,2812,0,0,78.0,0,949,0,2,22.0,6,0.0,0,1,2000,11,6,2,0,81.8,0,0,debt_consolidation,individual,5000,36,9.92,161.15,B,B2,Mar-2018,Current,whole,Cash,4637.57,477.94,362.43,115.51,0.0
2488,key accounts manager,4.0,FL,RENT,135000.0,Not Verified,5.07,,,,0,59.0,1991,1,21,8,41000,14408,0,1,59.0,0,0,1,4,6.0,8,0.0,0,3,27200,18,7,5,1,95.2,0,1,credit_card,individual,15000,60,9.92,318.12,B,B2,Mar-2018,Current,whole,Cash,14412.81,937.83,587.19,350.64,0.0
